"neighborhood_id","neighborhood","city_id","city","county_id","county","state_id","state","postal_abbr"
626168,Aldino-Stepney,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626150,Barkess,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626169,Bush Chapel,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626151,Gilbert,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626171,Grays,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626174,Long-Heat,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626175,Mullins,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626177,Old Robinhood,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
1125970,Paradise,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626152,Pulaski,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626178,Stepney,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626179,Swan Creek,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
626153,Titan Terrace,331735,Aberdeen,232572,Harford County,231185,Maryland,MD
1015731,Downtown Aberdeen,331739,Aberdeen,233415,Moore County,231160,North Carolina,NC
1015720,Old Bethesda,331739,Aberdeen,233415,Moore County,231160,North Carolina,NC
686712,Bel-Aire,331729,Aberdeen,234464,Grays Harbor County,231186,Washington,WA
686715,Downtown,331729,Aberdeen,234464,Grays Harbor County,231186,Washington,WA
687002,East Aberdeen,331729,Aberdeen,234464,Grays Harbor County,231186,Washington,WA
